Date,Step,exam_week,day_of_week,is_weekend,Step_normalized,Step_Rolling_Avg,Cumulative_Steps
2024-09-22,9242,0,6,1,0.4873852000422253,,9242
2024-09-23,6059,0,0,0,0.31938139976776103,,15301
2024-09-24,7079,0,1,0,0.37321862134487493,,22380
2024-09-25,4183,0,2,0,0.2203631373376966,,26563
2024-09-26,6798,0,3,0,0.3583869946162778,,33361
2024-09-27,6388,0,4,0,0.3367465428058693,,39749
2024-09-28,31,0,5,1,0.001213976564974137,5682.857142857143,39780
2024-09-29,2604,0,6,1,0.13702100707273304,4734.571428571428,42384
2024-09-30,6533,0,0,0,0.34439987332418454,4802.285714285715,48917
2024-10-01,2428,0,1,0,0.12773144727119182,4137.857142857143,51345
2024-10-02,3837,0,2,0,0.20210070727330307,4088.4285714285716,55182
2024-10-03,6796,0,3,0,0.35828143143671487,4088.1428571428573,61978
2024-10-04,8515,0,4,0,0.44901298427108627,4392.0,70493
2024-10-05,1768,0,5,1,0.09289559801541222,4640.142857142857,72261
2024-10-06,47,0,6,1,0.0020584820014778846,4274.857142857143,72308
2024-10-07,8791,0,0,0,0.46358070305077587,4597.428571428572,81099
2024-10-08,3399,0,1,0,0.17898237094901298,4736.142857142857,84498
2024-10-09,5195,0,2,0,0.2737781061965586,4930.142857142857,89693
2024-10-10,6369,0,3,0,0.3357436926000211,4869.142857142857,96062
2024-10-11,5733,0,4,0,0.30217460149899716,4471.714285714285,101795
2024-10-12,1037,0,5,1,0.05431225588514726,4367.285714285715,102832
2024-10-13,1721,0,6,1,0.09041486329568246,4606.428571428572,104553
2024-10-14,8247,0,0,0,0.4348675182096485,4528.714285714285,112800
2024-10-15,3467,0,1,0,0.18257151905415392,4538.428571428572,116267
2024-10-16,3307,0,2,0,0.17412646468911644,4268.714285714285,119574
2024-10-17,9560,0,3,0,0.5041697455927373,4724.571428571428,129134
2024-10-18,7394,0,4,0,0.38984482212604243,4961.857142857143,136528
2024-10-19,3148,0,5,1,0.16573419191386043,5263.428571428572,139676
2024-10-20,46,0,6,1,0.0020057004116964,5024.142857142857,139722
2024-10-21,9706,0,0,0,0.511875857700834,5232.571428571428,149428
2024-10-22,2568,0,1,0,0.1351208698405996,5104.142857142857,151996
2024-10-23,3394,0,2,0,0.17871846300010558,5116.571428571428,155390
2024-10-24,3310,0,3,0,0.1742848094584609,4223.714285714285,158700
2024-10-25,8579,0,4,0,0.45239100601710125,4393.0,167279
2024-10-26,7302,0,5,1,0.38498891586614586,4986.428571428572,174581
2024-10-27,8,0,6,1,0.0,4981.0,174589
2024-10-28,6126,1,0,0,0.32291776628312047,4469.571428571428,180715
2024-10-29,3569,1,1,0,0.1879552412118653,4612.571428571428,184284
2024-10-30,3551,1,2,0,0.18700517259579857,4635.0,187835
2024-10-31,6102,1,3,0,0.32165100812836483,5033.857142857143,193937
2024-11-01,3956,1,4,0,0.2083817164572997,4373.428571428572,197893
